num_item,item,tipo_estim,cod_tipo_estim,tipo_pal,frec,frec_ac,num_caract,estr
1,CASA,palabra,1,S,472,1775,4,cvcv
2,SOL,palabra,1,S,289,577,3,cvc
3,LUNA,palabra,1,S,266,159,4,cvcv
4,GATO,palabra,1,S,258,140,4,cvcv
6,MAR,palabra,1,S,173,443,3,cvc
8,MESA,palabra,1,S,159,469,4,cvcv
9,OSO,palabra,1,S,135,46,3,vcv
10,PATO,palabra,1,S,123,10,4,cvcv
11,ROSA,palabra,1,S,123,93,4,cvcv
12,REY,palabra,1,S,114,309,3,cvc
13,PELO,palabra,1,S,110,305,4,cvcv
14,SOPA,palabra,1,S,110,31,4,cvcv
15,VACA,palabra,1,S,110,24,4,cvcv
16,NIDO,palabra,1,S,107,26,4,cvcv
17,MOTO,palabra,1,S,105,20,4,cvcv
18,PAN,palabra,1,S,105,138,3,cvc
19,MANO,palabra,1,S,104,1099,4,cvcv
20,FOTO,palabra,1,S,101,76,4,cvcv
21,CAMA,palabra,1,S,100,412,4,cvcv
22,NUBE,palabra,1,S,96,50,4,cvcv
23,LOBO,palabra,1,S,94,47,4,cvcv
24,SAPO,palabra,1,S,91,11,4,cvcv
25,DADO,palabra,1,S,88,372,4,cvcv
26,RANA,palabra,1,S,86,10,4,cvcv
27,BOTA,palabra,1,S,81,9,4,cvcv
28,DEDO,palabra,1,S,81,131,4,cvcv
31,CARA,palabra,1,S,75,630,4,cvcv
32,VASO,palabra,1,S,75,119,4,cvcv
33,OLA,palabra,1,S,74,38,3,vcv
34,TAXI,palabra,1,S,71,49,4,cvcv
35,BOCA,palabra,1,S,70,400,4,cvcv
37,LUZ,palabra,1,S,66,892,3,cvc
38,CAJA,palabra,1,S,62,120,4,cvcv
39,LUPA,palabra,1,S,60,7,4,cvcv
41,CUNA,palabra,1,S,58,29,4,cvcv
42,RATA,palabra,1,S,58,34,4,cvcv
43,PALA,palabra,1,S,57,11,4,cvcv
47,SAL,palabra,1,S,56,60,3,cvc
44,MAPA,palabra,1,S,56,50,4,cvcv
45,MONO,palabra,1,S,56,48,4,cvcv
46,PINO,palabra,1,S,56,19,4,cvcv
48,VELA,palabra,1,S,56,54,4,cvcv
50,RAMA,palabra,1,S,54,50,4,cvcv
51,FOCA,palabra,1,S,50,10,4,cvcv
53,ROPA,palabra,1,S,49,177,4,cvcv
54,ORO,palabra,1,S,48,244,3,vcv
58,PEZ,palabra,1,S,47,59,3,cvc
56,LAGO,palabra,1,S,47,41,4,cvcv
57,LORO,palabra,1,S,47,15,4,cvcv
59,CUBO,palabra,1,S,46,26,4,cvcv
60,ALA,palabra,1,S,44,36,3,vcv
61,LANA,palabra,1,S,42,46,4,cvcv
63,TAZA,palabra,1,S,41,46,4,cvcv
66,TELE,palabra,1,S,38,52,4,cvcv
68,MAGO,palabra,1,S,37,13,4,cvcv
70,GOMA,palabra,1,S,36,25,4,cvcv
71,TELA,palabra,1,S,36,61,4,cvcv
72,NENA,palabra,1,S,35,20,4,cvcv
73,OJO,palabra,1,S,35,192,3,vcv
74,PALO,palabra,1,S,35,51,4,cvcv
75,COCO,palabra,1,S,34,15,4,cvcv
78,UVA,palabra,1,S,34,11,3,vcv
80,FILA,palabra,1,S,33,55,4,cvcv
82,BESO,palabra,1,S,32,76,4,cvcv
85,CINE,palabra,1,S,31,435,4,cvcv
86,RAYO,palabra,1,S,29,57,4,cvcv
87,PILA,palabra,1,S,28,30,4,cvcv
88,ARO,palabra,1,S,27,6,3,vcv
89,LATA,palabra,1,S,27,23,4,cvcv
90,BOTE,palabra,1,S,25,25,4,cvcv
91,CENA,palabra,1,S,25,102,4,cvcv
92,COPA,palabra,1,S,25,124,4,cvcv
93,RED,palabra,1,S,23,98,3,cvc
94,GOTA,palabra,1,S,22,47,4,cvcv
95,CAPA,palabra,1,S,21,86,4,cvcv
96,TORO,palabra,1,S,18,32,4,cvcv
97,BICI,palabra,1,S,17,1,4,cvcv
98,ROCA,palabra,1,S,15,45,4,cvcv
0,BOLO,palabra,0,PW,NA,NA,NA,NA
1,BASA,pseudopalabra,0,PW,NA,NA,NA,NA
2,TAHA,pseudopalabra,0,PW,NA,NA,NA,NA
3,GERE,pseudopalabra,0,PW,NA,NA,NA,NA
4,FESU,pseudopalabra,0,PW,NA,NA,NA,NA
6,MIBO,pseudopalabra,0,PW,NA,NA,NA,NA
8,NAER,pseudopalabra,0,PW,NA,NA,NA,NA
9,LAPE,pseudopalabra,0,PW,NA,NA,NA,NA
10,NESE,pseudopalabra,0,PW,NA,NA,NA,NA
11,BOGI,pseudopalabra,0,PW,NA,NA,NA,NA
12,GETU,pseudopalabra,0,PW,NA,NA,NA,NA
13,NATR,pseudopalabra,0,PW,NA,NA,NA,NA
14,GRFV,pseudopalabra,0,PW,NA,NA,NA,NA
15,GETP,pseudopalabra,0,PW,NA,NA,NA,NA
16,NATE,pseudopalabra,0,PW,NA,NA,NA,NA
17,CYAN,pseudopalabra,0,PW,NA,NA,NA,NA
18,MCFI,pseudopalabra,0,PW,NA,NA,NA,NA
19,CVNU,pseudopalabra,0,PW,NA,NA,NA,NA
20,CYE,pseudopalabra,0,PW,NA,NA,NA,NA
21,CAE,pseudopalabra,0,PW,NA,NA,NA,NA
22,SERH,pseudopalabra,0,PW,NA,NA,NA,NA
23,VCSF,pseudopalabra,0,PW,NA,NA,NA,NA
24,VGHH,pseudopalabra,0,PW,NA,NA,NA,NA
25,HDHJ,pseudopalabra,0,PW,NA,NA,NA,NA
26,GHR,pseudopalabra,0,PW,NA,NA,NA,NA
27,GDSD,pseudopalabra,0,PW,NA,NA,NA,NA
28,BHU,pseudopalabra,0,PW,NA,NA,NA,NA
31,HNGD,pseudopalabra,0,PW,NA,NA,NA,NA
32,DDG,pseudopalabra,0,PW,NA,NA,NA,NA
33,DFGH,pseudopalabra,0,PW,NA,NA,NA,NA
34,SRYK,pseudopalabra,0,PW,NA,NA,NA,NA
35,VIIL,pseudopalabra,0,PW,NA,NA,NA,NA
37,DJKA,pseudopalabra,0,PW,NA,NA,NA,NA
38,WQE,pseudopalabra,0,PW,NA,NA,NA,NA
39,BYI,pseudopalabra,0,PW,NA,NA,NA,NA
41,DSGB,pseudopalabra,0,PW,NA,NA,NA,NA
42,JKO,pseudopalabra,0,PW,NA,NA,NA,NA
43,IYF,pseudopalabra,0,PW,NA,NA,NA,NA
47,DDT,pseudopalabra,0,PW,NA,NA,NA,NA
44,GKLO,pseudopalabra,0,PW,NA,NA,NA,NA
45,HNJI,pseudopalabra,0,PW,NA,NA,NA,NA
46,HJIM,pseudopalabra,0,PW,NA,NA,NA,NA
48,HJVFG,pseudopalabra,0,PW,NA,NA,NA,NA
50,VJHFJ,pseudopalabra,0,PW,NA,NA,NA,NA
51,JHF,pseudopalabra,0,PW,NA,NA,NA,NA
53,VJHFJ,pseudopalabra,0,PW,NA,NA,NA,NA
54,CHCH,pseudopalabra,0,PW,NA,NA,NA,NA
58,JGJ,pseudopalabra,0,PW,NA,NA,NA,NA
56,CFFY,pseudopalabra,0,PW,NA,NA,NA,NA
57,CXH,pseudopalabra,0,PW,NA,NA,NA,NA
59,SSR,pseudopalabra,0,PW,NA,NA,NA,NA
60,CJNJ,pseudopalabra,0,PW,NA,NA,NA,NA
61,LETR,pseudopalabra,0,PW,NA,NA,NA,NA
63,NATE,pseudopalabra,0,PW,NA,NA,NA,NA
66,DTR,pseudopalabra,0,PW,NA,NA,NA,NA
68,CBY,pseudopalabra,0,PW,NA,NA,NA,NA
70,RYJK,pseudopalabra,0,PW,NA,NA,NA,NA
71,VJK,pseudopalabra,0,PW,NA,NA,NA,NA
72,CFNJ,pseudopalabra,0,PW,NA,NA,NA,NA
73,SFGH,pseudopalabra,0,PW,NA,NA,NA,NA
74,XGN,pseudopalabra,0,PW,NA,NA,NA,NA
75,KOLN,pseudopalabra,0,PW,NA,NA,NA,NA
78,XETR,pseudopalabra,0,PW,NA,NA,NA,NA
80,XVBB,pseudopalabra,0,PW,NA,NA,NA,NA
82,CAWE,pseudopalabra,0,PW,NA,NA,NA,NA
85,NMOT,pseudopalabra,0,PW,NA,NA,NA,NA
86,XEWT,pseudopalabra,0,PW,NA,NA,NA,NA
87,XWZS,pseudopalabra,0,PW,NA,NA,NA,NA
88,AARY,pseudopalabra,0,PW,NA,NA,NA,NA
89,BUIW,pseudopalabra,0,PW,NA,NA,NA,NA
90,LOY,pseudopalabra,0,PW,NA,NA,NA,NA
91,ERB,pseudopalabra,0,PW,NA,NA,NA,NA
92,DES,pseudopalabra,0,PW,NA,NA,NA,NA
