num_item,base,item,tipo_estim,cod_tipo_estim,imagen,congruencia,nombreArchivo
1,ARO,ARO,1,palabra,0,0,NA
2,BAÑO,BAÑO,1,palabra,0,0,NA
3,BESO,BESO,1,palabra,1,1,BESO
4,BOCA,BOCA,1,palabra,1,1,BOCA
5,BOTA,BOTA,1,palabra,0,0,NA
6,BOTE,BOTE,1,palabra,1,1,BOTE
7,CAJA,CAJA,1,palabra,1,0,BESO
8,CAMA,CAMA,1,palabra,1,0,LAGO
9,CAPA,CAPA,1,palabra,0,0,NA
10,CARA,CARA,1,palabra,1,0,SOPA
11,CASA,CASA,1,palabra,0,0,NA
12,CENA,CENA,1,palabra,1,0,GOTA
13,CINE,CINE,1,palabra,1,1,CINE
14,COPA,COPA,1,palabra,1,1,COPA
15,CUBO,CUBO,1,palabra,0,0,NA
16,CUNA,CUNA,1,palabra,0,0,NA
17,DADO,DADO,1,palabra,1,0,BOCA
18,DEDO,DEDO,1,palabra,0,0,NA
19,FILA,FILA,1,palabra,1,0,LUNA
20,FOCA,FOCA,1,palabra,0,0,NA
21,FOTO,FOTO,1,palabra,0,0,NA
22,GATO,GATO,1,palabra,1,1,GATO
23,GOMA,GOMA,1,palabra,0,0,NA
24,GOTA,GOTA,1,palabra,1,1,GOTA
25,HUMO,HUMO,1,palabra,0,0,NA
26,LAGO,LAGO,1,palabra,1,1,LAGO
27,LANA,LANA,1,palabra,0,0,NA
28,LATA,LATA,1,palabra,0,0,NA
29,LEÑA,LEÑA,1,palabra,1,0,LUPA
30,LOBO,LOBO,1,palabra,0,0,NA
31,LORO,LORO,1,palabra,1,0,BOTE
32,LUNA,LUNA,1,palabra,1,1,LUNA
33,LUPA,LUPA,1,palabra,1,1,LUPA
34,LUZ,LUZ,1,palabra,0,0,NA
35,MAGO,MAGO,1,palabra,1,1,MAGO
36,MANO,MANO,1,palabra,1,1,MANO
37,MAPA,MAPA,1,palabra,0,0,NA
38,MAR,MAR,1,palabra,0,0,NA
39,MESA,MESA,1,palabra,1,1,MESA
40,MONO,MONO,1,palabra,0,0,NA
41,MOTO,MOTO,1,palabra,0,0,NA
42,NIDO,NIDO,1,palabra,1,0,MAGO
43,NIÑO,NIÑO,1,palabra,0,0,NA
44,NUBE,NUBE,1,palabra,1,0,CINE
45,OJO,OJO,1,palabra,1,0,COPA
46,OLA,OLA,1,palabra,0,0,NA
47,ORO,ORO,1,palabra,0,0,NA
48,OSO,OSO,1,palabra,0,0,NA
49,PALA,PALA,1,palabra,1,0,GATO
50,PALO,PALO,1,palabra,0,0,NA
51,PAN,PAN,1,palabra,1,1,PAN
52,PATO,PATO,1,palabra,1,1,PATO
53,PELO,PELO,1,palabra,1,1,PELO
54,PEZ,PEZ,1,palabra,1,1,PEZ
55,PILA,PILA,1,palabra,0,0,NA
56,PINO,PINO,1,palabra,1,0,REY
57,RAMA,RAMA,1,palabra,0,0,NA
58,RAMO,RAMO,1,palabra,0,0,NA
59,RANA,RANA,1,palabra,1,0,MANO
60,RATA,RATA,1,palabra,1,0,SOL
61,RAYO,RAYO,1,palabra,0,0,NA
62,REY,REY,1,palabra,1,1,REY
63,ROCA,ROCA,1,palabra,0,0,NA
64,ROPA,ROPA,1,palabra,1,1,ROPA
65,ROSA,ROSA,1,palabra,0,0,NA
66,SAL,SAL,1,palabra,0,0,NA
67,SAPO,SAPO,1,palabra,1,0,MESA
68,SOL,SOL,1,palabra,1,1,SOL
69,SOPA,SOPA,1,palabra,1,1,SOPA
70,TAPA,TAPA,1,palabra,1,0,PELO
71,TAXI,TAXI,1,palabra,0,0,NA
72,TAZA,TAZA,1,palabra,0,0,NA
73,TELA,TELA,1,palabra,1,0,PATO
74,TORO,TORO,1,palabra,0,0,NA
75,UÑA,UÑA,1,palabra,1,0,PAN
76,UVA,UVA,1,palabra,1,0,ROPA
77,VACA,VACA,1,palabra,0,0,NA
78,VASO,VASO,1,palabra,0,0,NA
79,VELA,VELA,1,palabra,1,0,PEZ
80,VINO,VINO,1,palabra,0,0,NA
1,ARO,EJO,0,pseudopalabra,0,NA,NA
2,BAÑO,LAFO,0,pseudopalabra,0,NA,NA
3,BESO,REDO,0,pseudopalabra,0,NA,NA
4,BOCA,LOGA,0,pseudopalabra,0,NA,NA
5,BOTA,LETA,0,pseudopalabra,0,NA,NA
6,BOTE,LOME,0,pseudopalabra,0,NA,NA
7,CAJA,MAVA,0,pseudopalabra,0,NA,NA
8,CAMA,PAÑA,0,pseudopalabra,0,NA,NA
9,CAPA,MAFA,0,pseudopalabra,0,NA,NA
10,CARA,RAPA,0,pseudopalabra,0,NA,NA
11,CASA,MABA,0,pseudopalabra,0,NA,NA
12,CENA,CIRA,0,pseudopalabra,0,NA,NA
13,CINE,CEGE,0,pseudopalabra,0,NA,NA
14,COPA,POBA,0,pseudopalabra,0,NA,NA
15,CUBO,MUMO,0,pseudopalabra,0,NA,NA
16,CUNA,MUPA,0,pseudopalabra,0,NA,NA
17,DADO,LARO,0,pseudopalabra,0,NA,NA
18,DEDO,LESO,0,pseudopalabra,0,NA,NA
19,FILA,GISA,0,pseudopalabra,0,NA,NA
20,FOCA,GOSA,0,pseudopalabra,0,NA,NA
21,FOTO,VODO,0,pseudopalabra,0,NA,NA
22,GATO,ZADO,0,pseudopalabra,0,NA,NA
23,GOMA,HONA,0,pseudopalabra,0,NA,NA
24,GOTA,DETA,0,pseudopalabra,0,NA,NA
25,HUMO,NUGO,0,pseudopalabra,0,NA,NA
26,LAGO,RACO,0,pseudopalabra,0,NA,NA
27,LANA,FALA,0,pseudopalabra,0,NA,NA
28,LATA,GACA,0,pseudopalabra,0,NA,NA
29,LEÃƒâ€˜A,LIBA,0,pseudopalabra,0,NA,NA
30,LOBO,BOGO,0,pseudopalabra,0,NA,NA
31,LORO,VONO,0,pseudopalabra,0,NA,NA
32,LUNA,FUSA,0,pseudopalabra,0,NA,NA
33,LUPA,FUJA,0,pseudopalabra,0,NA,NA
34,LUZ,CUZ,0,pseudopalabra,0,NA,NA
35,MAGO,CADO,0,pseudopalabra,0,NA,NA
36,MANO,PAMO,0,pseudopalabra,0,NA,NA
37,MAPA,PAZA,0,pseudopalabra,0,NA,NA
38,MAR,SAR,0,pseudopalabra,0,NA,NA
39,MESA,CEVA,0,pseudopalabra,0,NA,NA
40,MONO,COBO,0,pseudopalabra,0,NA,NA
41,MOTO,SOCO,0,pseudopalabra,0,NA,NA
42,NIDO,GEDO,0,pseudopalabra,0,NA,NA
43,NIÃƒâ€˜O,GIJO,0,pseudopalabra,0,NA,NA
44,NUBE,GUPE,0,pseudopalabra,0,NA,NA
45,OJO,ENO,0,pseudopalabra,0,NA,NA
46,OLA,EBA,0,pseudopalabra,0,NA,NA
47,ORO,EPO,0,pseudopalabra,0,NA,NA
48,OSO,EJO,0,pseudopalabra,0,NA,NA
49,PALA,SABA,0,pseudopalabra,0,NA,NA
50,PALO,SAVO,0,pseudopalabra,0,NA,NA
51,PAN,LAN,0,pseudopalabra,0,NA,NA
52,PATO,MADO,0,pseudopalabra,0,NA,NA
53,PELO,MECO,0,pseudopalabra,0,NA,NA
54,PEZ,SEZ,0,pseudopalabra,0,NA,NA
55,PILA,SIBA,0,pseudopalabra,0,NA,NA
56,PINO,MISO,0,pseudopalabra,0,NA,NA
57,RAMA,SASA,0,pseudopalabra,0,NA,NA
58,RAMO,LACO,0,pseudopalabra,0,NA,NA
59,RANA,SAMA,0,pseudopalabra,0,NA,NA
60,RATA,GADA,0,pseudopalabra,0,NA,NA
61,RAYO,BAYE,0,pseudopalabra,0,NA,NA
62,REY,VEY,0,pseudopalabra,0,NA,NA
63,ROCA,BOMA,0,pseudopalabra,0,NA,NA
64,ROPA,BOJA,0,pseudopalabra,0,NA,NA
65,ROSA,FONA,0,pseudopalabra,0,NA,NA
66,SAL,FAL,0,pseudopalabra,0,NA,NA
67,SAPO,TAVO,0,pseudopalabra,0,NA,NA
68,SOL,DOL,0,pseudopalabra,0,NA,NA
69,SOPA,TOVA,0,pseudopalabra,0,NA,NA
70,TAPA,SAVA,0,pseudopalabra,0,NA,NA
71,TAXXI,TEXPI,0,pseudopalabra,0,NA,NA
72,TAZA,RAGA,0,pseudopalabra,0,NA,NA
73,TELA,BENA,0,pseudopalabra,0,NA,NA
74,TORO,BODO,0,pseudopalabra,0,NA,NA
75,UÃƒâ€˜A,IGA,0,pseudopalabra,0,NA,NA
76,UVA,IMA,0,pseudopalabra,0,NA,NA
77,VACA,FADA,0,pseudopalabra,0,NA,NA
78,VASO,FANO,0,pseudopalabra,0,NA,NA
79,VELA,FENA,0,pseudopalabra,0,NA,NA
80,VINO,FIRO,0,pseudopalabra,0,NA,NA
