	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
1	B	1	B G	0.827622432	G	1	0.99000001	0.99000001	0	15.11600018	15.11600018	0	0	1
2	S	1	S J	0.171779357	J	1	0.99000001	0.99000001	0	18.76399994	18.76399994	0	1	1
3	R	1	R K	0.189601539	K	1	0.340000004	0.340000004	0	28.76099968	28.76099968	0	2	1
4	P	1	P R	0.779113057	R	1	0.059999999	0.059999999	0	29.72699928	29.72699928	0	3	1
5	K	1	K F	0.574240465	F	1	0.239999995	0.239999995	0	7.768000126	7.768000126	0	4	1
6	M	1	M D	0.570395593	D	1	0.479999989	0.479999989	0	22.52899933	22.52899933	0	5	1
7	J	1	J N	0.557480332	N	1	0.02	0.02	0	5.585000038	5.585000038	0	6	1
8	H	1	H I	0.32519679	I	1	0.680000007	0.680000007	0	12.04899979	12.04899979	0	7	1
9	R	1	R W	0.628676639	W	1	0.109999999	0.109999999	0	7.701000214	7.701000214	0	8	1
10	V	1	V I	0.497076608	I	1	0.920000017	0.920000017	0	4.65199995	4.65199995	0	9	1
11	D	1	D V	0.643217847	V	1	0.920000017	0.920000017	0	1.91900003	1.91900003	0	10	1
12	Q	1	Q D	0.648031477	D	1	0.300000012	0.300000012	0	9.001999855	9.001999855	0	11	1
13	O	1	O V	0.798667364	V	1	0.699999988	0.699999988	0	6.767000198	6.767000198	0	12	1
14	R	1	R E	0.620102395	E	1	0.029999999	0.029999999	0	4.784999847	4.784999847	0	13	1
15	C	1	C W	0.506617236	W	1	0.119999997	0.119999997	0	3.88499999	3.88499999	0	14	1
16	S	1	S R	0.130548047	R	1	0.219999999	0.219999999	0	3.052000046	3.052000046	0	15	1
17	Y	1	Y Z	0.592682999	Z	1	0.01	0.01	0	3.467999935	3.467999935	0	16	1
18	T	1	T O	0.456982788	O	1	0.059999999	0.059999999	0	7.734000206	7.734000206	0	17	1
19	C	1	C P	0.879292971	P	1	0.939999998	0.939999998	0	3.753000021	3.753000021	0	18	1
20	U	1	U R	0.608190778	R	1	0.810000002	0.810000002	0	3.38499999	3.38499999	0	19	1
21	V	1	V Q	0.677036377	Q	1	0.079999998	0.079999998	0	4.485000134	4.485000134	0	20	1
22	J	1	J V	0.625568319	V	1	0.050000001	0.050000001	0	5.217999935	5.217999935	0	21	1
23	T	1	T W	0.836066556	W	1	0.079999998	0.079999998	0	4.784999847	4.784999847	0	22	1
24	V	1	V D	0.77308891	D	1	0.769999981	0.769999981	0	3.769000053	3.769000053	0	23	1
25	F	1	F Q	0.775820982	Q	1	0.519999981	0.519999981	0	8.567000389	8.567000389	0	24	1
26	Z	1	Z G	0.265173807	G	1	0.629999995	0.629999995	0	9.399999619	9.399999619	0	25	1
27	P	1	P Q	0.193106602	Q	1	0.970000029	0.970000029	0	8.001000404	8.001000404	0	26	1
28	O	1	O U	0.076291439	U	1	0.180000007	0.180000007	0	3.686000109	3.686000109	0	27	1
29	Z	1	Z A	0.403520256	A	1	0.389999986	0.389999986	0	20.08099937	20.08099937	0	28	1
30	T	1	T X	0.115020152	X	1	0.970000029	0.970000029	0	2.41899991	2.41899991	0	29	1
31	R	1	R S	0.771016111	S	1	0.209999993	0.209999993	0	4.670000076	4.670000076	0	30	1
32	L	1	L U	0.253985051	U	1	0.029999999	0.029999999	0	4.551000118	4.551000118	0	31	1
33	Z	1	Z E	0.770816456	E	1	0.029999999	0.029999999	0	4.335000038	4.335000038	0	32	1
34	B	1	B B	0.39492206	B	1	1	1	0	3.335999966	3.335999966	0	33	1
35	O	1	O H	0.819900673	H	1	0.059999999	0.059999999	0	5.934999943	5.934999943	0	34	1
36	N	1	N I	0.369955011	I	1	0.02	0.02	0	3.118999958	3.118999958	0	35	1
37	A	1	A C	0.159807077	C	1	0.02	0.02	0	2.470999956	2.470999956	0	36	1
38	B	1	B M	0.151358724	M	1	0.02	0.02	0	1.937000036	1.937000036	0	37	1
39	D	1	D G	0.055304381	G	1	0.879999995	0.879999995	0	3.720999956	3.720999956	0	38	1
40	M	1	M I	0.04695934	I	1	0.01	0.01	0	4.169000149	4.169000149	0	39	1
41	T	1	T L	0.133190099	L	1	0.01	0.01	0	2.520999908	2.520999908	0	40	1
42	M	1	M U	0.434484893	U	1	0.07	0.07	0	3.969000101	3.969000101	0	41	1
43	G	1	G Z	0.572807682	Z	1	0.560000002	0.560000002	0	3.769000053	3.769000053	0	42	1
44	J	1	J T	0.099396606	T	1	0.029999999	0.029999999	0	10.33300018	10.33300018	0	43	1
45	W	1	W Z	0.105912268	Z	1	0.02	0.02	0	4.568999767	4.568999767	0	44	1
46	Q	1	Q I	0.03155876	I	1	0	0	0	3.253000021	3.253000021	0	45	1
47	S	1	S G	0.300645877	G	1	0	0	0	2.536000013	2.536000013	0	46	1
48	P	1	P N	0.204491309	N	1	0	0	0	3.286999941	3.286999941	0	47	1
49	H	1	H V	0.209817107	V	1	0.170000002	0.170000002	0	3.404000044	3.404000044	0	48	1
50	G	1	G D	0.7964641	D	1	0.910000026	0.910000026	0	6.051000118	6.051000118	0	49	1
51	T	1	T H	0.503848294	H	1	0.059999999	0.059999999	0	3.618999958	3.618999958	0	50	1
52	C	1	C J	0.002088233	J	1	0.150000006	0.150000006	0	7.584000111	7.584000111	0	51	1
63	O	10	O G	0.718113952	G	1	0	0	0	2.220000029	2.220000029	0	0	1
64	D	10	D J	0.903865087	J	1	0	0	0	1.937000036	1.937000036	0	1	1
65	K	10	K U	0.049034827	U	1	0.079999998	0.079999998	0	3.137000084	3.137000084	0	2	1
66	X	10	X A	0.508020396	A	1	0.5	0.5	0	3.40199995	3.40199995	0	3	1
67	C	10	C S	0.398302026	S	1	0.310000002	0.310000002	0	2.322000027	2.322000027	0	4	1
68	P	10	P S	0.867396741	S	1	0.200000003	0.200000003	0	1.503000021	1.503000021	0	5	1
69	T	10	T R	0.444375524	R	1	0	0	0	1.837000012	1.837000012	0	6	1
70	Q	10	Q V	0.517957197	V	1	0	0	0	2.069000006	2.069000006	0	7	1
71	V	10	V T	0.456809459	T	1	0.25999999	0.25999999	0	1.671000004	1.671000004	0	8	1
72	Q	10	Q G	0.423229835	G	1	0.709999979	0.709999979	0	2.286999941	2.286999941	0	9	1
73	C	10	C K	0.48602422	K	1	0.129999995	0.129999995	0	2.519000053	2.519000053	0	10	1
74	G	10	G I	0.942816203	I	1	0.01	0.01	0	1.419999957	1.419999957	0	11	1
75	F	10	F M	0.294967722	M	1	0.01	0.01	0	1.019999981	1.019999981	0	12	1
76	W	10	W N	0.542355468	N	1	0.090000004	0.090000004	0	1.152999997	1.152999997	0	13	1
77	W	10	W O	0.503760731	O	1	0	0	0	1.753000021	1.753000021	0	14	1
78	B	10	B E	0.819241601	E	1	0	0	0	1.202999949	1.202999949	0	15	1
79	J	10	J E	0.953496463	E	1	0.119999997	0.119999997	0	1.552999973	1.552999973	0	16	1
80	J	10	J L	0.937781896	L	1	0.660000026	0.660000026	0	2.069000006	2.069000006	0	17	1
81	G	10	G P	0.137542132	P	1	0	0	0	2.002000093	2.002000093	0	18	1
