	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
1	H	1	H H	0.739798199	H	1	1	1	0	9.550000191	9.550000191	0	0	8
2	A	1	A L	0.161979487	L	1	0	0	0	21.93000031	21.93000031	0	1	8
3	K	1	K M	0.046045683	M	1	0	0	0	45.60599899	45.60599899	0	2	8
4	H	1	H S	0.36372866	S	1	0.660000026	0.660000026	0	7.301000118	7.301000118	0	3	8
5	V	1	V E	0.313315724	E	1	0.090000004	0.090000004	0	16.51499939	16.51499939	0	4	8
6	N	1	N S	0.438348644	S	1	0	0	0	4.269000053	4.269000053	0	5	8
7	V	1	V H	0.620070494	H	1	0.01	0.01	0	23.29800034	23.29800034	0	6	8
8	G	1	G B	0.507717536	B	1	0	0	0	10.53299999	10.53299999	0	7	8
9	P	1	P L	0.192113813	L	1	0.109999999	0.109999999	0	14.06499958	14.06499958	0	8	8
10	H	1	H N	0.678749028	N	1	0	0	0	14.66499996	14.66499996	0	9	8
11	H	1	H V	0.393325347	V	1	0.100000001	0.100000001	0	10.7510004	10.7510004	0	10	8
12	D	1	D H	0.739645376	H	1	0.660000026	0.660000026	0	3.302000046	3.302000046	0	11	8
13	T	1	T L	0.514503948	L	1	0.639999986	0.639999986	0	5.085000038	5.085000038	0	12	8
14	P	1	P Y	0.12947432	Y	1	0	0	0	5.585000038	5.585000038	0	13	8
15	U	1	U H	0.952494145	H	1	0.050000001	0.050000001	0	16.59799957	16.59799957	0	14	8
16	L	1	L U	0.189683118	U	1	0.310000002	0.310000002	0	3.302999973	3.302999973	0	15	8
17	B	1	B V	0.564321067	V	1	0.519999981	0.519999981	0	9.333999634	9.333999634	0	16	8
18	L	1	L F	0.563409537	F	1	0.930000007	0.930000007	0	2.819000006	2.819000006	0	17	8
19	V	1	V Y	0.584323188	Y	1	0.25999999	0.25999999	0	5.184999943	5.184999943	0	18	8
20	P	1	P V	0.212375691	V	1	0.01	0.01	0	4.002999783	4.002999783	0	19	8
21	X	1	X Z	0.18907928	Z	1	0.07	0.07	0	5.552000046	5.552000046	0	20	8
22	I	1	I T	0.883726823	T	1	0.829999983	0.829999983	0	3.269000053	3.269000053	0	21	8
23	P	1	P H	0.308193549	H	1	0.029999999	0.029999999	0	4.368999958	4.368999958	0	22	8
24	S	1	S T	0.269796148	T	1	0.090000004	0.090000004	0	5.551000118	5.551000118	0	23	8
25	Q	1	Q D	0.302156666	D	1	0.209999993	0.209999993	0	7.269000053	7.269000053	0	24	8
26	I	1	I J	0.928844858	J	1	0.01	0.01	0	5.318999767	5.318999767	0	25	8
