	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
1	c	1	c d	0.83361438	d	1	0.02	0.02	0	18.2310009	18.2310009	0	0	A
2	y	1	y e	0.077729282	e	1	0.340000004	0.340000004	0	13.13199997	13.13199997	0	1	A
3	q	1	q h	0.389896845	h	1	0	0	0	10.46700001	10.46700001	0	2	A
4	e	1	e t	0.416858206	t	1	0.07	0.07	0	8.817000389	8.817000389	0	3	A
5	d	1	d z	0.598334894	z	1	0.50999999	0.50999999	0	15.09899998	15.09899998	0	4	A
6	e	1	e a	0.241446788	a	1	0.360000014	0.360000014	0	10.19999981	10.19999981	0	5	A
7	d	1	d j	0.827044686	j	1	0.189999998	0.189999998	0	11.01599979	11.01599979	0	6	A
8	r	1	r g	0.473606116	g	1	0.660000026	0.660000026	0	8.751000404	8.751000404	0	7	A
9	r	1	r p	0.854871687	p	1	0.49000001	0.49000001	0	7.133999825	7.133999825	0	8	A
10	e	1	e e	0.1368598	e	1	1	1	0	10.76799965	10.76799965	0	9	A
11	h	1	h y	0.340829661	y	1	0	0	0	5.920000076	5.920000076	0	10	A
12	h	1	h b	0.32979572	b	1	0.600000024	0.600000024	0	7.916999817	7.916999817	0	11	A
13	q	1	q b	0.977159461	b	1	0.090000004	0.090000004	0	6.852000237	6.852000237	0	12	A
14	h	1	h e	0.749060251	e	1	0.050000001	0.050000001	0	7.268000126	7.268000126	0	13	A
15	k	1	k j	0.522206819	j	1	0	0	0	5.368000031	5.368000031	0	14	A
16	u	1	u w	0.400863033	w	1	0.170000002	0.170000002	0	13.28199959	13.28199959	0	15	A
17	u	1	u l	0.191241583	l	1	0	0	0	2.436000109	2.436000109	0	16	A
18	s	1	s u	0.365373563	u	1	0	0	0	5.702000141	5.702000141	0	17	A
19	h	1	h r	0.699832258	r	1	0.370000005	0.370000005	0	6.301000118	6.301000118	0	18	A
20	i	1	i x	0.272568066	x	1	0.860000014	0.860000014	0	8.300999641	8.300999641	0	19	A
21	w	1	w u	0.952701652	u	1	0.25	0.25	0	13.19900036	13.19900036	0	20	A
22	v	1	v a	0.417796399	a	1	0	0	0	5.534999847	5.534999847	0	21	A
23	y	1	y o	0.490209422	o	1	0	0	0	2.536000013	2.536000013	0	22	A
24	t	1	t x	0.073303065	x	1	0.230000004	0.230000004	0	4.552000046	4.552000046	0	23	A
25	s	1	s e	0.840477156	e	1	0.079999998	0.079999998	0	3.65199995	3.65199995	0	24	A
26	v	1	v z	0.780839536	z	1	0.02	0.02	0	5.835999966	5.835999966	0	25	A
27	u	1	u y	0.384143081	y	1	0.100000001	0.100000001	0	9.616999626	9.616999626	0	26	A
28	h	1	h f	0.914017599	f	1	0.649999976	0.649999976	0	8.083000183	8.083000183	0	27	A
29	i	1	i f	0.961727729	f	1	0	0	0	9.034000397	9.034000397	0	28	A
30	d	1	d m	0.146215354	m	1	0.239999995	0.239999995	0	7.184999943	7.184999943	0	29	A
31	z	1	z n	0.369773135	n	1	0.109999999	0.109999999	0	4.869999886	4.869999886	0	30	A
32	q	1	q c	0.132962615	c	1	0.07	0.07	0	7.934000015	7.934000015	0	31	A
33	g	1	g b	0.318003675	b	1	0.02	0.02	0	3.186000109	3.186000109	0	32	A
34	o	1	o a	0.592560793	a	1	0	0	0	3.786000013	3.786000013	0	33	A
35	d	1	d s	0.585926989	s	1	0.029999999	0.029999999	0	6.703000069	6.703000069	0	34	A
36	h	1	h c	0.160860603	c	1	0.460000008	0.460000008	0	5.085000038	5.085000038	0	35	A
37	z	1	z b	0.222411692	b	1	0.310000002	0.310000002	0	8.201000214	8.201000214	0	36	A
38	e	1	e v	0.550412249	v	1	0	0	0	7.152999878	7.152999878	0	37	A
39	y	1	y p	0.364175557	p	1	0.589999974	0.589999974	0	12.43200016	12.43200016	0	38	A
40	i	1	i d	0.904688235	d	1	0.300000012	0.300000012	0	5.31799984	5.31799984	0	39	A
41	q	1	q k	0.522855086	k	1	0	0	0	4.751999855	4.751999855	0	40	A
42	m	1	m t	0.314330586	t	1	0	0	0	3.16899991	3.16899991	0	41	A
43	y	1	y z	0.148313028	z	1	0.449999988	0.449999988	0	9.267000198	9.267000198	0	42	A
44	n	1	n t	0.339458703	t	1	0	0	0	4.985000134	4.985000134	0	43	A
45	q	1	q e	0.408119624	e	1	0.460000008	0.460000008	0	7.451000214	7.451000214	0	44	A
46	t	1	t j	0.62261127	j	1	0.059999999	0.059999999	0	6.235000134	6.235000134	0	45	A
47	n	1	n v	0.150159794	v	1	0.790000021	0.790000021	0	6.717999935	6.717999935	0	46	A
48	v	1	v o	0.703816751	o	1	0.519999981	0.519999981	0	8.151000023	8.151000023	0	47	A
49	s	1	s d	0.80971196	d	1	0.340000004	0.340000004	0	6.019000053	6.019000053	0	48	A
50	x	1	x f	0.192776205	f	1	0.400000006	0.400000006	0	7.485000134	7.485000134	0	49	A
51	t	1	t h	0.967176015	h	1	0.01	0.01	0	4.751999855	4.751999855	0	50	A
52	f	1	f a	0.615365809	a	1	0.629999995	0.629999995	0	8.083999634	8.083999634	0	51	A
62	o	10	o j	0.210505205	j	1	0.100000001	0.100000001	0	1.601999998	1.601999998	0	0	A
63	w	10	w p	0.719607912	p	1	0.100000001	0.100000001	0	1.286999941	1.286999941	0	1	A
64	r	10	r b	0.372188126	b	1	0.270000011	0.270000011	0	1.738000035	1.738000035	0	2	A
65	e	10	e b	0.19850631	b	1	0.769999981	0.769999981	0	2.069000006	2.069000006	0	3	A
66	i	10	i g	0.881388184	g	1	0.5	0.5	0	3.036000013	3.036000013	0	4	A
67	i	10	i z	0.813142337	z	1	0.379999995	0.379999995	0	1.603999972	1.603999972	0	5	A
68	f	10	f j	0.417673151	j	1	0.600000024	0.600000024	0	2.286999941	2.286999941	0	6	A
69	p	10	p r	0.101021463	r	1	0.560000002	0.560000002	0	3.469000101	3.469000101	0	7	A
70	h	10	h x	0.249193284	x	1	0.400000006	0.400000006	0	2.602999926	2.602999926	0	8	A
71	e	10	e f	0.249798084	f	1	0.25999999	0.25999999	0	1.287999988	1.287999988	0	9	A
72	i	10	i c	0.535906367	c	1	0.639999986	0.639999986	0	1.603000045	1.603000045	0	10	A
73	v	10	v r	0.897332228	r	1	0.600000024	0.600000024	0	1.636999965	1.636999965	0	11	A
74	q	10	q u	0.55205241	u	1	0.289999992	0.289999992	0	1.769999981	1.769999981	0	12	A
75	z	10	z y	0.470179721	y	1	0.519999981	0.519999981	0	3.184999943	3.184999943	0	13	A
76	k	10	k m	0.948320921	m	1	0.379999995	0.379999995	0	1.702999949	1.702999949	0	14	A
77	s	10	s h	0.546403947	h	1	0.819999993	0.819999993	0	1.802999973	1.802999973	0	15	A
78	b	10	b w	0.505400999	w	1	0.670000017	0.670000017	0	1.353000045	1.353000045	0	16	A
79	p	10	p d	0.232107865	d	1	0.379999995	0.379999995	0	2.286000013	2.286000013	0	17	A
