num_item,base,item,cond_target,bloque,cond_bloque
1,ARO,ARO,0,palabra,1
2,BAÑO,BAÑO,0,palabra,1
3,BESO,BESO,0,palabra,1
4,BOCA,BOCA,0,palabra,1
5,BOTA,BOTA,0,palabra,1
6,BOTE,BOTE,0,palabra,1
7,CAJA,CAJA,0,palabra,1
8,CAMA,CAMA,0,palabra,1
9,CAPA,CAPA,0,palabra,1
10,CARA,CARA,0,palabra,1
11,CASA,CASA,0,palabra,1
12,CENA,CENA,0,palabra,1
13,CINE,CINE,0,palabra,1
14,COPA,COPA,0,palabra,1
15,CUBO,CUBO,0,palabra,1
16,CUNA,CUNA,0,palabra,1
17,DADO,DADO,0,palabra,1
18,DEDO,DEDO,0,palabra,1
19,FILA,FILA,0,palabra,1
20,FOCA,FOCA,0,palabra,1
21,FOTO,FOTO,0,palabra,1
22,GATO,GATO,0,palabra,1
23,GOMA,GOMA,0,palabra,1
24,GOTA,GOTA,0,palabra,1
25,HUMO,HUMO,0,palabra,1
26,LAGO,LAGO,0,palabra,1
27,LANA,LANA,0,palabra,1
28,LATA,LATA,0,palabra,1
29,LEÑA,LEÑA,0,palabra,1
30,LOBO,LOBO,0,palabra,1
31,LORO,LORO,0,palabra,1
32,LUNA,LUNA,0,palabra,1
33,LUPA,LUPA,0,palabra,1
34,LUZ,LUZ,0,palabra,1
35,MAGO,MAGO,0,palabra,1
36,MANO,MANO,0,palabra,1
37,MAPA,MAPA,0,palabra,1
38,MAR,MAR,0,palabra,1
39,MESA,MESA,0,palabra,1
40,MONO,MONO,0,palabra,1
41,MOTO,MOTO,0,palabra,1
42,NIDO,NIDO,0,palabra,1
43,NIÑO,NIÑO,0,palabra,1
44,NUBE,NUBE,0,palabra,1
45,OJO,OJO,0,palabra,1
46,OLA,OLA,0,palabra,1
47,ORO,ORO,0,palabra,1
48,OSO,OSO,0,palabra,1
49,PALA,PALA,0,palabra,1
50,PALO,PALO,0,palabra,1
51,PAN,PAN,0,palabra,1
52,PATO,PATO,0,palabra,1
53,PELO,PELO,0,palabra,1
54,PEZ,PEZ,0,palabra,1
55,PILA,PILA,0,palabra,1
56,PINO,PINO,0,palabra,1
57,RAMA,RAMA,0,palabra,1
58,RAMO,RAMO,0,palabra,1
59,RANA,RANA,0,palabra,1
60,RATA,RATA,0,palabra,1
61,RAYO,RAYO,0,palabra,1
62,REY,REY,0,palabra,1
63,ROCA,ROCA,0,palabra,1
64,ROPA,ROPA,0,palabra,1
65,ROSA,ROSA,0,palabra,1
66,SAL,SAL,0,palabra,1
67,SAPO,SAPO,0,palabra,1
68,SOL,SOL,0,palabra,1
69,SOPA,SOPA,0,palabra,1
70,TAPA,TAPA,0,palabra,1
71,TAXI,TAXI,0,palabra,1
72,TAZA,TAZA,0,palabra,1
73,TELA,TELA,0,palabra,1
74,TORO,TORO,0,palabra,1
75,UÑA,UÑA,0,palabra,1
76,UVA,UVA,0,palabra,1
77,VACA,VACA,0,palabra,1
78,VASO,VASO,0,palabra,1
79,VELA,VELA,0,palabra,1
80,VINO,VINO,0,palabra,1
