num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
16,CUNA,MUPA,0,pseudopalabra,2,1,NA
31,LORO,VONO,0,pseudopalabra,2,1,NA
10,CARA,RAPA,0,pseudopalabra,2,1,NA
61,RAYO,BAYE,0,pseudopalabra,2,1,NA
68,SOL,DOL,0,pseudopalabra,2,1,NA
68,SOL,DOL,1,pseudopalabra,2,1,1.45729878603
79,VELA,FENA,0,pseudopalabra,2,1,NA
72,TAZA,RAGA,0,pseudopalabra,2,1,NA
75,UÑA,IGA,0,pseudopalabra,2,1,NA
75,UÑA,IGA,1,pseudopalabra,2,1,1.62213617891
1,ARO,EJO,0,pseudopalabra,2,1,NA
20,FOCA,GOSA,0,pseudopalabra,2,1,NA
17,DADO,LARO,0,pseudopalabra,2,1,NA
76,UVA,IMA,0,pseudopalabra,2,1,NA
77,VACA,FADA,0,pseudopalabra,2,1,NA
18,DEDO,LESO,0,pseudopalabra,2,1,NA
18,DEDO,LESO,1,pseudopalabra,2,1,1.09243362227
48,OSO,EJO,0,pseudopalabra,2,1,NA
60,RATA,GADA,0,pseudopalabra,2,1,NA
74,TORO,BODO,0,pseudopalabra,2,1,NA
53,PELO,MECO,0,pseudopalabra,2,1,NA
53,PELO,MECO,1,pseudopalabra,2,1,1.18174117701
29,LEÑA,LIBA,0,pseudopalabra,2,1,NA
29,LEÑA,LIBA,1,pseudopalabra,2,1,0.594328432059
13,CINE,CEGE,0,pseudopalabra,2,1,NA
54,PEZ,SEZ,0,pseudopalabra,2,1,NA
62,REY,VEY,0,pseudopalabra,2,1,NA
62,REY,VEY,1,pseudopalabra,2,1,1.09263883189
14,COPA,POBA,0,pseudopalabra,2,0,1.63973341591
2,BAÑO,LAFO,0,pseudopalabra,2,1,NA
25,HUMO,NUGO,0,pseudopalabra,2,1,NA
25,HUMO,NUGO,1,pseudopalabra,2,0,NA
27,LANA,FALA,0,pseudopalabra,2,0,0.638244110156
42,NIDO,GEDO,0,pseudopalabra,2,1,NA
80,VINO,FIRO,0,pseudopalabra,2,1,NA
80,VINO,FIRO,1,pseudopalabra,2,0,NA
30,LOBO,BOGO,0,pseudopalabra,2,1,NA
5,BOTA,LETA,0,pseudopalabra,2,1,NA
51,PAN,LAN,0,pseudopalabra,2,1,NA
15,CUBO,MUMO,0,pseudopalabra,2,1,NA
34,LUZ,CUZ,0,pseudopalabra,2,1,NA
28,LATA,GACA,0,pseudopalabra,2,1,NA
28,LATA,GACA,1,pseudopalabra,2,1,1.45303607839
49,PALA,SABA,0,pseudopalabra,2,1,NA
49,PALA,SABA,1,pseudopalabra,2,1,1.10238567448
7,CAJA,MAVA,0,pseudopalabra,2,1,NA
21,FOTO,VODO,0,pseudopalabra,2,1,NA
40,MONO,COBO,0,pseudopalabra,2,1,NA
36,MANO,PAMO,0,pseudopalabra,2,1,NA
57,RAMA,SASA,0,pseudopalabra,2,1,NA
33,LUPA,FUJA,0,pseudopalabra,2,1,NA
23,GOMA,HONA,0,pseudopalabra,2,1,NA
64,ROPA,BOJA,0,pseudopalabra,2,1,NA
4,BOCA,LOGA,0,pseudopalabra,2,1,NA
4,BOCA,LOGA,1,pseudopalabra,2,1,1.12127315162
38,MAR,SAR,0,pseudopalabra,2,1,NA
39,MESA,CEVA,0,pseudopalabra,2,1,NA
56,PINO,MISO,0,pseudopalabra,2,1,NA
46,OLA,EBA,0,pseudopalabra,2,1,NA
11,CASA,MABA,0,pseudopalabra,2,1,NA
19,FILA,GISA,0,pseudopalabra,2,1,NA
19,FILA,GISA,1,pseudopalabra,2,1,1.17224378084
59,RANA,SAMA,0,pseudopalabra,2,1,NA
78,VASO,FANO,0,pseudopalabra,2,1,NA
52,PATO,MADO,0,pseudopalabra,2,1,NA
52,PATO,MADO,1,pseudopalabra,2,0,NA
66,SAL,FAL,0,pseudopalabra,2,1,NA
45,OJO,ENO,0,pseudopalabra,2,1,NA
41,MOTO,SOCO,0,pseudopalabra,2,1,NA
41,MOTO,SOCO,1,pseudopalabra,2,1,1.13272802639
12,CENA,CIRA,0,pseudopalabra,2,1,NA
12,CENA,CIRA,1,pseudopalabra,2,1,0.830781525072
65,ROSA,FONA,0,pseudopalabra,2,0,1.05654938179
35,MAGO,CADO,0,pseudopalabra,2,1,NA
35,MAGO,CADO,1,pseudopalabra,2,1,1.40747749453
32,LUNA,FUSA,0,pseudopalabra,2,0,1.16685221549
70,TAPA,SAVA,0,pseudopalabra,2,1,NA
6,BOTE,LOME,0,pseudopalabra,2,1,NA
37,MAPA,PAZA,0,pseudopalabra,2,1,NA
47,ORO,EPO,0,pseudopalabra,2,1,NA
9,CAPA,MAFA,0,pseudopalabra,2,1,NA
9,CAPA,MAFA,1,pseudopalabra,2,1,0.891159438454
55,PILA,SIBA,0,pseudopalabra,2,1,NA
