num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
74,TORO,BODO,0,pseudopalabra,2,1,NA
5,BOTA,LETA,0,pseudopalabra,2,1,NA
10,CARA,RAPA,0,pseudopalabra,2,1,NA
63,ROCA,BOMA,0,pseudopalabra,2,1,NA
12,CENA,CIRA,0,pseudopalabra,2,1,NA
61,RAYO,BAYE,0,pseudopalabra,2,1,NA
47,ORO,EPO,0,pseudopalabra,2,1,NA
47,ORO,EPO,1,pseudopalabra,2,1,1.21845677914
18,DEDO,LESO,0,pseudopalabra,2,1,NA
70,TAPA,SAVA,0,pseudopalabra,2,1,NA
48,OSO,EJO,0,pseudopalabra,2,1,NA
48,OSO,EJO,1,pseudopalabra,2,1,0.91779375542
59,RANA,SAMA,0,pseudopalabra,2,1,NA
59,RANA,SAMA,1,pseudopalabra,2,1,0.801108114887
24,GOTA,DETA,0,pseudopalabra,2,1,NA
28,LATA,GACA,0,pseudopalabra,2,1,NA
28,LATA,GACA,1,pseudopalabra,2,1,0.816877889913
9,CAPA,MAFA,0,pseudopalabra,2,1,NA
64,ROPA,BOJA,0,pseudopalabra,2,1,NA
15,CUBO,MUMO,0,pseudopalabra,2,1,NA
42,NIDO,GEDO,0,pseudopalabra,2,1,NA
42,NIDO,GEDO,1,pseudopalabra,2,1,1.11768664536
73,TELA,BENA,0,pseudopalabra,2,1,NA
45,OJO,ENO,0,pseudopalabra,2,1,NA
45,OJO,ENO,1,pseudopalabra,2,1,0.984136857092
67,SAPO,TAVO,0,pseudopalabra,2,1,NA
77,VACA,FADA,0,pseudopalabra,2,1,NA
41,MOTO,SOCO,0,pseudopalabra,2,1,NA
52,PATO,MADO,0,pseudopalabra,2,1,NA
52,PATO,MADO,1,pseudopalabra,2,0,NA
46,OLA,EBA,0,pseudopalabra,2,1,NA
25,HUMO,NUGO,0,pseudopalabra,2,1,NA
68,SOL,DOL,0,pseudopalabra,2,1,NA
2,BAÑO,LAFO,0,pseudopalabra,2,1,NA
2,BAÑO,LAFO,1,pseudopalabra,2,0,NA
62,REY,VEY,0,pseudopalabra,2,1,NA
39,MESA,CEVA,0,pseudopalabra,2,1,NA
21,FOTO,VODO,0,pseudopalabra,2,1,NA
49,PALA,SABA,0,pseudopalabra,2,1,NA
65,ROSA,FONA,0,pseudopalabra,2,1,NA
6,BOTE,LOME,0,pseudopalabra,2,1,NA
38,MAR,SAR,0,pseudopalabra,2,1,NA
38,MAR,SAR,1,pseudopalabra,2,0,NA
72,TAZA,RAGA,0,pseudopalabra,2,1,NA
16,CUNA,MUPA,0,pseudopalabra,2,1,NA
51,PAN,LAN,0,pseudopalabra,2,1,NA
35,MAGO,CADO,0,pseudopalabra,2,1,NA
36,MANO,PAMO,0,pseudopalabra,2,1,NA
36,MANO,PAMO,1,pseudopalabra,2,1,0.667653356912
3,BESO,REDO,0,pseudopalabra,2,1,NA
37,MAPA,PAZA,0,pseudopalabra,2,1,NA
55,PILA,SIBA,0,pseudopalabra,2,1,NA
32,LUNA,FUSA,0,pseudopalabra,2,1,NA
31,LORO,VONO,0,pseudopalabra,2,1,NA
43,NIÑO,GIJO,0,pseudopalabra,2,1,NA
53,PELO,MECO,0,pseudopalabra,2,1,NA
78,VASO,FANO,0,pseudopalabra,2,1,NA
78,VASO,FANO,1,pseudopalabra,2,0,NA
71,TAXXI,TEXPI,0,pseudopalabra,2,1,NA
30,LOBO,BOGO,0,pseudopalabra,2,1,NA
22,GATO,ZADO,0,pseudopalabra,2,1,NA
44,NUBE,GUPE,0,pseudopalabra,2,1,NA
60,RATA,GADA,0,pseudopalabra,2,1,NA
7,CAJA,MAVA,0,pseudopalabra,2,1,NA
54,PEZ,SEZ,0,pseudopalabra,2,1,NA
54,PEZ,SEZ,1,pseudopalabra,2,0,NA
11,CASA,MABA,0,pseudopalabra,2,1,NA
11,CASA,MABA,1,pseudopalabra,2,0,NA
8,CAMA,PAÑA,0,pseudopalabra,2,1,NA
27,LANA,FALA,0,pseudopalabra,2,1,NA
79,VELA,FENA,0,pseudopalabra,2,1,NA
34,LUZ,CUZ,0,pseudopalabra,2,1,NA
34,LUZ,CUZ,1,pseudopalabra,2,0,NA
33,LUPA,FUJA,0,pseudopalabra,2,1,NA
33,LUPA,FUJA,1,pseudopalabra,2,0,NA
40,MONO,COBO,0,pseudopalabra,2,1,NA
26,LAGO,RACO,0,pseudopalabra,2,1,NA
80,VINO,FIRO,0,pseudopalabra,2,1,NA
