num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
81,JUGO,JUGO,0,palabra,1,1,NA
82,PIE,PIE,0,palabra,1,1,NA
82,PIE,PIE,1,palabra,1,0,NA
83,PERRO,PERRO,0,palabra,1,1,NA
84,QUESO,QUESO,0,palabra,1,1,NA
87,MIEL,MIEL,0,palabra,1,1,NA
87,MIEL,MIEL,1,palabra,1,0,NA
88,BICI,BICI,0,palabra,1,1,NA
88,BICI,BICI,1,palabra,1,1,1.16753542836
89,FARO,FARO,0,palabra,1,1,NA
89,FARO,FARO,1,palabra,1,1,0.733390513499
90,FLOR,FLOR,0,palabra,1,1,NA
81,JUGO,RUMO,0,pseudopalabr,2,1,NA
82,PIE,TIE,0,pseudopalabr,2,1,NA
82,PIE,TIE,1,pseudopalabr,2,1,0.728894743439
83,PERRO,NERRA,0,pseudopalabr,2,1,NA
83,PERRO,NERRA,1,pseudopalabr,2,1,0.719271600053
84,QUESO,QUEGA,0,pseudopalabr,2,1,NA
87,MIEL,DIEL,0,pseudopalabr,2,1,NA
87,MIEL,DIEL,1,pseudopalabr,2,1,0.825305172511
88,BICI,RIDI,0,pseudopalabr,2,1,NA
88,BICI,RIDI,1,pseudopalabr,2,1,0.518246043468
89,FARO,GORA,0,pseudopalabr,2,1,NA
90,FLOR,CLAB,0,pseudopalabr,2,1,NA
81,JUGO,JUGO,0,false font,3,1,NA
82,PIE,PIE,0,false font,3,1,NA
82,PIE,PIE,1,false font,3,1,0.856785802936
83,PERRO,PERRO,0,false font,3,1,NA
84,QUESO,QUESO,0,false font,3,1,NA
87,MIEL,MIEL,0,false font,3,1,NA
87,MIEL,MIEL,1,false font,3,1,0.637762010907
88,BICI,BICI,0,false font,3,1,NA
88,BICI,BICI,1,false font,3,1,0.600356106276
89,FARO,FARO,0,false font,3,1,NA
89,FARO,FARO,1,false font,3,1,0.528653570935
90,FLOR,FLOR,0,false font,3,1,NA
