num_item,base,item,cond_target,bloque,cond_bloque
1,ARO,EJO,0,pseudopalabra,2
2,BAÑO,LAFO,0,pseudopalabra,2
3,BESO,REDO,0,pseudopalabra,2
4,BOCA,LOGA,0,pseudopalabra,2
5,BOTA,LETA,0,pseudopalabra,2
6,BOTE,LOME,0,pseudopalabra,2
7,CAJA,MAVA,0,pseudopalabra,2
8,CAMA,PAÑA,0,pseudopalabra,2
9,CAPA,MAFA,0,pseudopalabra,2
10,CARA,RAPA,0,pseudopalabra,2
11,CASA,MABA,0,pseudopalabra,2
12,CENA,CIRA,0,pseudopalabra,2
13,CINE,CEGE,0,pseudopalabra,2
14,COPA,POBA,0,pseudopalabra,2
15,CUBO,MUMO,0,pseudopalabra,2
16,CUNA,MUPA,0,pseudopalabra,2
17,DADO,LARO,0,pseudopalabra,2
18,DEDO,LESO,0,pseudopalabra,2
19,FILA,GISA,0,pseudopalabra,2
20,FOCA,GOSA,0,pseudopalabra,2
21,FOTO,VODO,0,pseudopalabra,2
22,GATO,ZADO,0,pseudopalabra,2
23,GOMA,HONA,0,pseudopalabra,2
24,GOTA,DETA,0,pseudopalabra,2
25,HUMO,NUGO,0,pseudopalabra,2
26,LAGO,RACO,0,pseudopalabra,2
27,LANA,FALA,0,pseudopalabra,2
28,LATA,GACA,0,pseudopalabra,2
29,LEÑA,LIBA,0,pseudopalabra,2
30,LOBO,BOGO,0,pseudopalabra,2
31,LORO,VONO,0,pseudopalabra,2
32,LUNA,FUSA,0,pseudopalabra,2
33,LUPA,FUJA,0,pseudopalabra,2
34,LUZ,CUZ,0,pseudopalabra,2
35,MAGO,CADO,0,pseudopalabra,2
36,MANO,PAMO,0,pseudopalabra,2
37,MAPA,PAZA,0,pseudopalabra,2
38,MAR,SAR,0,pseudopalabra,2
39,MESA,CEVA,0,pseudopalabra,2
40,MONO,COBO,0,pseudopalabra,2
41,MOTO,SOCO,0,pseudopalabra,2
42,NIDO,GEDO,0,pseudopalabra,2
43,NIÑO,GIJO,0,pseudopalabra,2
44,NUBE,GUPE,0,pseudopalabra,2
45,OJO,ENO,0,pseudopalabra,2
46,OLA,EBA,0,pseudopalabra,2
47,ORO,EPO,0,pseudopalabra,2
48,OSO,EJO,0,pseudopalabra,2
49,PALA,SABA,0,pseudopalabra,2
50,PALO,SAVO,0,pseudopalabra,2
51,PAN,LAN,0,pseudopalabra,2
52,PATO,MADO,0,pseudopalabra,2
53,PELO,MECO,0,pseudopalabra,2
54,PEZ,SEZ,0,pseudopalabra,2
55,PILA,SIBA,0,pseudopalabra,2
56,PINO,MISO,0,pseudopalabra,2
57,RAMA,SASA,0,pseudopalabra,2
58,RAMO,LACO,0,pseudopalabra,2
59,RANA,SAMA,0,pseudopalabra,2
60,RATA,GADA,0,pseudopalabra,2
61,RAYO,BAYE,0,pseudopalabra,2
62,REY,VEY,0,pseudopalabra,2
63,ROCA,BOMA,0,pseudopalabra,2
64,ROPA,BOJA,0,pseudopalabra,2
65,ROSA,FONA,0,pseudopalabra,2
66,SAL,FAL,0,pseudopalabra,2
67,SAPO,TAVO,0,pseudopalabra,2
68,SOL,DOL,0,pseudopalabra,2
69,SOPA,TOVA,0,pseudopalabra,2
70,TAPA,SAVA,0,pseudopalabra,2
71,TAXXI,TEXPI,0,pseudopalabra,2
72,TAZA,RAGA,0,pseudopalabra,2
73,TELA,BENA,0,pseudopalabra,2
74,TORO,BODO,0,pseudopalabra,2
75,UÑA,IGA,0,pseudopalabra,2
76,UVA,IMA,0,pseudopalabra,2
77,VACA,FADA,0,pseudopalabra,2
78,VASO,FANO,0,pseudopalabra,2
79,VELA,FENA,0,pseudopalabra,2
80,VINO,FIRO,0,pseudopalabra,2
