num_item,item,cond_target, tipoEstimulo, cond_bloque,tipo,x1,x2,x3,estructura,acierto,TR
71,TELA,0,palabra,1,S,36,61,4,cvcv,1,NA
88,ARO,0,palabra,1,S,27,6,3,vcv,1,NA
72,NENA,0,palabra,1,S,35,20,4,cvcv,1,NA
96,TORO,0,palabra,1,S,18,32,4,cvcv,1,NA
31,CARA,0,palabra,1,S,75,630,4,cvcv,1,NA
23,LOBO,0,palabra,1,S,94,47,4,cvcv,1,NA
21,CAMA,0,palabra,1,S,100,412,4,cvcv,1,NA
20,FOTO,0,palabra,1,S,101,76,4,cvcv,1,NA
27,BOTA,0,palabra,1,S,81,9,4,cvcv,1,NA
42,RATA,0,palabra,1,S,58,34,4,cvcv,1,NA
42,RATA,1,palabra,1,S,58,34,4,cvcv,0,NA
22,NUBE,0,palabra,1,S,96,50,4,cvcv,1,NA
70,GOMA,0,palabra,1,S,36,25,4,cvcv,1,NA
70,GOMA,1,palabra,1,S,36,25,4,cvcv,0,NA
35,BOCA,0,palabra,1,S,70,400,4,cvcv,1,NA
75,COCO,0,palabra,1,S,34,15,4,cvcv,1,NA
24,SAPO,0,palabra,1,S,91,11,4,cvcv,1,NA
9,OSO,0,palabra,1,S,135,46,3,vcv,1,NA
50,RAMA,0,palabra,1,S,54,50,4,cvcv,1,NA
50,RAMA,1,palabra,1,S,54,50,4,cvcv,0,NA
11,ROSA,0,palabra,1,S,123,93,4,cvcv,1,NA
11,ROSA,1,palabra,1,S,123,93,4,cvcv,0,NA
25,DADO,0,palabra,1,S,88,372,4,cvcv,1,NA
25,DADO,1,palabra,1,S,88,372,4,cvcv,0,NA
85,CINE,0,palabra,1,S,31,435,4,cvcv,1,NA
91,CENA,0,palabra,1,S,25,102,4,cvcv,1,NA
13,PELO,0,palabra,1,S,110,305,4,cvcv,1,NA
3,LUNA,0,palabra,1,S,266,159,4,cvcv,1,NA
3,LUNA,1,palabra,1,S,266,159,4,cvcv,0,NA
16,NIDO,0,palabra,1,S,107,26,4,cvcv,1,NA
44,MAPA,0,palabra,1,S,56,50,4,cvcv,1,NA
80,FILA,0,palabra,1,S,33,55,4,cvcv,1,NA
57,LORO,0,palabra,1,S,47,15,4,cvcv,1,NA
57,LORO,1,palabra,1,S,47,15,4,cvcv,0,NA
89,LATA,0,palabra,1,S,27,23,4,cvcv,1,NA
15,VACA,0,palabra,1,S,110,24,4,cvcv,1,NA
92,COPA,0,palabra,1,S,25,124,4,cvcv,1,NA
92,COPA,1,palabra,1,S,25,124,4,cvcv,0,NA
2,SOL,0,palabra,1,S,289,577,3,cvc,1,NA
56,LAGO,0,palabra,1,S,47,41,4,cvcv,1,NA
26,RANA,0,palabra,1,S,86,10,4,cvcv,1,NA
38,CAJA,0,palabra,1,S,62,120,4,cvcv,1,NA
47,SAL,0,palabra,1,S,56,60,3,cvc,1,NA
45,MONO,0,palabra,1,S,56,48,4,cvcv,1,NA
45,MONO,1,palabra,1,S,56,48,4,cvcv,0,NA
4,GATO,0,palabra,1,S,258,140,4,cvcv,1,NA
37,LUZ,0,palabra,1,S,66,892,3,cvc,1,NA
97,BICI,0,palabra,1,S,17,1,4,cvcv,1,NA
97,BICI,1,palabra,1,S,17,1,4,cvcv,0,NA
10,PATO,0,palabra,1,S,123,10,4,cvcv,1,NA
98,ROCA,0,palabra,1,S,15,45,4,cvcv,1,NA
58,PEZ,0,palabra,1,S,47,59,3,cvc,1,NA
43,PALA,0,palabra,1,S,57,11,4,cvcv,1,NA
33,OLA,0,palabra,1,S,74,38,3,vcv,1,NA
68,MAGO,0,palabra,1,S,37,13,4,cvcv,1,NA
66,TELE,0,palabra,1,S,38,52,4,cvcv,1,NA
18,PAN,0,palabra,1,S,105,138,3,cvc,1,NA
32,VASO,0,palabra,1,S,75,119,4,cvcv,1,NA
1,CASA,0,palabra,1,S,472,1775,4,cvcv,1,NA
86,RAYO,0,palabra,1,S,29,57,4,cvcv,1,NA
90,BOTE,0,palabra,1,S,25,25,4,cvcv,1,NA
48,VELA,0,palabra,1,S,56,54,4,cvcv,1,NA
6,MAR,0,palabra,1,S,173,443,3,cvc,1,NA
87,PILA,0,palabra,1,S,28,30,4,cvcv,1,NA
87,PILA,1,palabra,1,S,28,30,4,cvcv,0,NA
61,LANA,0,palabra,1,S,42,46,4,cvcv,1,NA
12,REY,0,palabra,1,S,114,309,3,cvc,1,NA
12,REY,1,palabra,1,S,114,309,3,cvc,0,NA
74,PALO,0,palabra,1,S,35,51,4,cvcv,1,NA
74,PALO,1,palabra,1,S,35,51,4,cvcv,0,NA
19,MANO,0,palabra,1,S,104,1099,4,cvcv,1,NA
63,TAZA,0,palabra,1,S,41,46,4,cvcv,1,NA
53,ROPA,0,palabra,1,S,49,177,4,cvcv,1,NA
53,ROPA,1,palabra,1,S,49,177,4,cvcv,0,NA
93,RED,0,palabra,1,S,23,98,3,cvc,1,NA
60,ALA,0,palabra,1,S,44,36,3,vcv,1,NA
60,ALA,1,palabra,1,S,44,36,3,vcv,0,NA
59,CUBO,0,palabra,1,S,46,26,4,cvcv,1,NA
73,OJO,0,palabra,1,S,35,192,3,vcv,1,NA
46,PINO,0,palabra,1,S,56,19,4,cvcv,1,NA
17,MOTO,0,palabra,1,S,105,20,4,cvcv,1,NA
17,MOTO,1,palabra,1,S,105,20,4,cvcv,0,NA
78,UVA,0,palabra,1,S,34,11,3,vcv,1,NA
95,CAPA,0,palabra,1,S,21,86,4,cvcv,1,NA
95,CAPA,1,palabra,1,S,21,86,4,cvcv,0,NA
34,TAXI,0,palabra,1,S,71,49,4,cvcv,1,NA
34,TAXI,1,palabra,1,S,71,49,4,cvcv,0,NA
94,GOTA,0,palabra,1,S,22,47,4,cvcv,1,NA
8,MESA,0,palabra,1,S,159,469,4,cvcv,1,NA
54,ORO,0,palabra,1,S,48,244,3,vcv,1,NA
39,LUPA,0,palabra,1,S,60,7,4,cvcv,1,NA
82,BESO,0,palabra,1,S,32,76,4,cvcv,1,NA
14,SOPA,0,palabra,1,S,110,31,4,cvcv,1,NA
51,FOCA,0,palabra,1,S,50,10,4,cvcv,1,NA
51,FOCA,1,palabra,1,S,50,10,4,cvcv,0,NA
41,CUNA,0,palabra,1,S,58,29,4,cvcv,1,NA
