num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
22,GATO,ZADO,0,pseudopalabra,2,1,NA
45,OJO,ENO,0,pseudopalabra,2,1,NA
63,ROCA,oooo,0,pseudopalabra,2,1,NA
44,NUBE,GUPE,0,pseudopalabra,2,1,NA
18,DEDO,LESO,0,pseudopalabra,2,1,NA
48,OSO,EJO,0,pseudopalabra,2,1,NA
8,CAMA,PAÑA,0,pseudopalabra,2,1,NA
47,ORO,EPO,0,pseudopalabra,2,1,NA
77,VACA,FADA,0,pseudopalabra,2,1,NA
72,TAZA,RAGA,0,pseudopalabra,2,1,NA
72,TAZA,RAGA,1,pseudopalabra,2,1,0.701146985986
3,BESO,REDO,0,pseudopalabra,2,1,NA
68,SOL,DOL,0,pseudopalabra,2,1,NA
68,SOL,DOL,1,pseudopalabra,2,1,0.550629430683
2,BAÑO,LAFO,0,pseudopalabra,2,1,NA
2,BAÑO,LAFO,1,pseudopalabra,2,1,0.883785632555
71,TAXXI,TEXPI,0,pseudopalabra,2,1,NA
33,LUPA,FUJA,0,pseudopalabra,2,1,NA
13,CINE,CEGE,0,pseudopalabra,2,1,NA
59,RANA,SAMA,0,pseudopalabra,2,1,NA
59,RANA,SAMA,1,pseudopalabra,2,1,0.850737233297
62,REY,VEY,0,pseudopalabra,2,1,NA
66,SAL,FAL,0,pseudopalabra,2,1,NA
73,TELA,BENA,0,pseudopalabra,2,1,NA
46,OLA,EBA,0,pseudopalabra,2,1,NA
7,CAJA,MAVA,0,pseudopalabra,2,1,NA
7,CAJA,MAVA,1,pseudopalabra,2,1,0.817213405273
52,PATO,MADO,0,pseudopalabra,2,1,NA
76,UVA,IMA,0,pseudopalabra,2,1,NA
10,CARA,RAPA,0,pseudopalabra,2,1,NA
19,FILA,GISA,0,pseudopalabra,2,1,NA
67,SAPO,TAVO,0,pseudopalabra,2,1,NA
34,LUZ,CUZ,0,pseudopalabra,2,1,NA
34,LUZ,CUZ,1,pseudopalabra,2,1,0.650852932013
36,MANO,PAMO,0,pseudopalabra,2,1,NA
56,PINO,MISO,0,pseudopalabra,2,1,NA
56,PINO,MISO,1,pseudopalabra,2,1,0.717665921431
17,DADO,LARO,0,pseudopalabra,2,1,NA
16,CUNA,MUPA,0,pseudopalabra,2,1,NA
40,MONO,COBO,0,pseudopalabra,2,1,NA
80,VINO,FIRO,0,pseudopalabra,2,1,NA
80,VINO,FIRO,1,pseudopalabra,2,1,0.534024330438
24,GOTA,DETA,0,pseudopalabra,2,1,NA
24,GOTA,DETA,1,pseudopalabra,2,1,0.400546022807
65,ROSA,oooo,0,pseudopalabra,2,1,NA
54,PEZ,SEZ,0,pseudopalabra,2,1,NA
75,UÑA,IGA,0,pseudopalabra,2,1,NA
30,LOBO,BOGO,0,pseudopalabra,2,1,NA
30,LOBO,BOGO,1,pseudopalabra,2,1,0.517400390701
28,LATA,GACA,0,pseudopalabra,2,1,NA
39,MESA,CEVA,0,pseudopalabra,2,1,NA
23,GOMA,HONA,0,pseudopalabra,2,1,NA
53,PELO,MECO,0,pseudopalabra,2,1,NA
26,LAGO,RACO,0,pseudopalabra,2,1,NA
61,RAYO,BAYE,0,pseudopalabra,2,1,NA
50,PALO,SAVO,0,pseudopalabra,2,1,NA
42,NIDO,GEDO,0,pseudopalabra,2,1,NA
57,RAMA,SASA,0,pseudopalabra,2,1,NA
74,TORO,BODO,0,pseudopalabra,2,1,NA
38,MAR,SAR,0,pseudopalabra,2,1,NA
38,MAR,SAR,1,pseudopalabra,2,1,1.08323772578
58,RAMO,LACO,0,pseudopalabra,2,1,NA
5,BOTA,LETA,0,pseudopalabra,2,0,1.04125730426
31,LORO,VONO,0,pseudopalabra,2,1,NA
31,LORO,VONO,1,pseudopalabra,2,1,0.950925548561
51,PAN,LAN,0,pseudopalabra,2,1,NA
6,BOTE,LOME,0,pseudopalabra,2,0,0.309001037036
14,COPA,POBA,0,pseudopalabra,2,1,NA
79,VELA,FENA,0,pseudopalabra,2,0,0.458437795169
79,VELA,FENA,1,pseudopalabra,2,0,NA
21,FOTO,VODO,0,pseudopalabra,2,0,0.412962583825
21,FOTO,VODO,1,pseudopalabra,2,0,NA
29,LEÑA,LIBA,0,pseudopalabra,2,0,0.357318847324
1,ARO,EJO,0,pseudopalabra,2,0,0.365994038293
43,NIÑO,GIJO,0,pseudopalabra,2,1,NA
15,CUBO,MUMO,0,pseudopalabra,2,0,0.224283275893
55,PILA,SIBA,0,pseudopalabra,2,0,0.223478703876
9,CAPA,MAFA,0,pseudopalabra,2,0,0.156756866025
64,ROPA,BOJA,0,pseudopalabra,2,0,0.256899744156
64,ROPA,BOJA,1,pseudopalabra,2,1,0.283859551186
69,SOPA,TOVA,0,pseudopalabra,2,1,NA
69,SOPA,TOVA,1,pseudopalabra,2,1,0.550997638726
20,FOCA,GOSA,0,pseudopalabra,2,1,NA
20,FOCA,GOSA,1,pseudopalabra,2,0,NA
78,VASO,FANO,0,pseudopalabra,2,1,NA
78,VASO,FANO,1,pseudopalabra,2,0,NA
60,RATA,GADA,0,pseudopalabra,2,1,NA
49,PALA,SABA,0,pseudopalabra,2,1,NA
37,MAPA,PAZA,0,pseudopalabra,2,1,NA
37,MAPA,PAZA,1,pseudopalabra,2,0,NA
12,CENA,CIRA,0,pseudopalabra,2,1,NA
12,CENA,CIRA,1,pseudopalabra,2,0,NA
4,BOCA,LOGA,0,pseudopalabra,2,1,NA
41,MOTO,SOCO,0,pseudopalabra,2,1,NA
70,TAPA,SAVA,0,pseudopalabra,2,1,NA
35,MAGO,CADO,0,pseudopalabra,2,1,NA
27,LANA,FALA,0,pseudopalabra,2,1,NA
25,HUMO,NUGO,0,pseudopalabra,2,1,NA
11,CASA,MABA,0,pseudopalabra,2,1,NA
32,LUNA,FUSA,0,pseudopalabra,2,1,NA
