num_item,item,cond_target, bloque, cond_bloque,tipo,x1,x2,x3,X4,acierto,TR
44,MAPA,0,palabra,1,S,56,50,4,cvcv,1,NA
22,NUBE,0,palabra,1,S,96,50,4,cvcv,1,NA
97,BICI,0,palabra,1,S,17,1,4,cvcv,1,NA
12,REY,0,palabra,1,S,114,309,3,cvc,1,NA
19,MANO,0,palabra,1,S,104,1099,4,cvcv,1,NA
88,ARO,0,palabra,1,S,27,6,3,vcv,1,NA
90,BOTE,0,palabra,1,S,25,25,4,cvcv,0,1.01884620958
46,PINO,0,palabra,1,S,56,19,4,cvcv,1,NA
11,ROSA,0,palabra,1,S,123,93,4,cvcv,1,NA
11,ROSA,1,palabra,1,S,123,93,4,cvcv,1,0.500949610912
57,LORO,0,palabra,1,S,47,15,4,cvcv,1,NA
57,LORO,1,palabra,1,S,47,15,4,cvcv,1,0.750939290563
68,MAGO,0,palabra,1,S,37,13,4,cvcv,1,NA
37,LUZ,0,palabra,1,S,66,892,3,cvc,1,NA
25,DADO,0,palabra,1,S,88,372,4,cvcv,1,NA
25,DADO,1,palabra,1,S,88,372,4,cvcv,1,0.534189179118
82,BESO,0,palabra,1,S,32,76,4,cvcv,1,NA
75,COCO,0,palabra,1,S,34,15,4,cvcv,1,NA
42,RATA,0,palabra,1,S,58,34,4,cvcv,1,NA
3,LUNA,0,palabra,1,S,266,159,4,cvcv,1,NA
28,DEDO,0,palabra,1,S,81,131,4,cvcv,1,NA
28,DEDO,1,palabra,1,S,81,131,4,cvcv,1,0.634204888207
87,PILA,0,palabra,1,S,28,30,4,cvcv,1,NA
23,LOBO,0,palabra,1,S,94,47,4,cvcv,1,NA
4,GATO,0,palabra,1,S,258,140,4,cvcv,1,NA
34,TAXI,0,palabra,1,S,71,49,4,cvcv,1,NA
34,TAXI,1,palabra,1,S,71,49,4,cvcv,1,0.817595466026
66,TELE,0,palabra,1,S,38,52,4,cvcv,1,NA
66,TELE,1,palabra,1,S,38,52,4,cvcv,1,0.485406745167
32,VASO,0,palabra,1,S,75,119,4,cvcv,1,NA
32,VASO,1,palabra,1,S,75,119,4,cvcv,1,0.468079081882
89,LATA,0,palabra,1,S,27,23,4,cvcv,1,NA
1,CASA,0,palabra,1,S,472,1775,4,cvcv,1,NA
1,CASA,1,palabra,1,S,472,1775,4,cvcv,1,0.46809265764
54,ORO,0,palabra,1,S,48,244,3,vcv,1,NA
17,MOTO,0,palabra,1,S,105,20,4,cvcv,1,NA
17,MOTO,1,palabra,1,S,105,20,4,cvcv,1,0.300669396034
50,RAMA,0,palabra,1,S,54,50,4,cvcv,1,NA
6,MAR,0,palabra,1,S,173,443,3,cvc,1,NA
51,FOCA,0,palabra,1,S,50,10,4,cvcv,1,NA
14,SOPA,0,palabra,1,S,110,31,4,cvcv,0,0.351653043341
18,PAN,0,palabra,1,S,105,138,3,cvc,1,NA
24,SAPO,0,palabra,1,S,91,11,4,cvcv,1,NA
80,FILA,0,palabra,1,S,33,55,4,cvcv,1,NA
71,TELA,0,palabra,1,S,36,61,4,cvcv,1,NA
27,BOTA,0,palabra,1,S,81,9,4,cvcv,1,NA
43,PALA,0,palabra,1,S,57,11,4,cvcv,1,NA
43,PALA,1,palabra,1,S,57,11,4,cvcv,1,0.568561076958
60,ALA,0,palabra,1,S,44,36,3,vcv,1,NA
